time:148.922,vol:737.068
time:149.022,vol:737.068
time:149.123,vol:737.069
time:149.272,vol:737.07
time:149.382,vol:737.072
time:149.522,vol:737.076
time:149.675,vol:737.076
time:149.782,vol:737.077
time:149.924,vol:737.077
time:150.024,vol:737.077
time:150.183,vol:737.082
time:150.323,vol:737.088
time:150.472,vol:737.088
time:150.587,vol:737.106
time:150.722,vol:737.128
time:150.873,vol:737.192
time:150.978,vol:737.222
time:151.122,vol:737.239
time:151.225,vol:737.243
time:151.382,vol:737.249
time:151.523,vol:737.251
time:151.672,vol:737.251
time:151.781,vol:737.252
time:151.922,vol:737.253
time:152.023,vol:737.253
time:152.18,vol:737.254
time:152.322,vol:737.256
time:152.472,vol:737.256
time:152.583,vol:737.263
time:152.723,vol:737.376
time:152.823,vol:737.407
time:152.981,vol:737.503
time:153.123,vol:737.785
time:153.279,vol:737.965
time:153.423,vol:738.204
time:153.58,vol:738.724
time:153.722,vol:739.629
time:153.823,vol:739.685
time:153.985,vol:740.58
time:154.123,vol:741.397
time:154.272,vol:741.712
time:154.381,vol:742.06
time:154.522,vol:742.41
time:154.673,vol:742.471
time:154.781,vol:742.531
time:154.923,vol:742.608
time:155.023,vol:742.643
time:155.125,vol:742.769
time:155.273,vol:742.885
time:155.382,vol:742.929
time:155.524,vol:742.944
time:155.624,vol:742.96
time:155.78,vol:743.055
time:155.922,vol:743.093
time:156.023,vol:743.098
time:156.184,vol:743.111
time:156.325,vol:743.112
time:156.425,vol:743.115
time:156.578,vol:743.123
time:156.722,vol:743.259
time:156.822,vol:743.506
time:156.979,vol:746.932
time:157.123,vol:748.195
time:157.272,vol:749.036
time:157.377,vol:749.541
time:157.525,vol:750.142
time:157.674,vol:751.159
time:157.778,vol:752.805
time:157.923,vol:753.443
time:158.024,vol:753.507
time:158.176,vol:753.612
time:158.322,vol:753.799
time:158.426,vol:753.975
time:158.579,vol:754.621
time:158.725,vol:755.218
time:158.825,vol:755.41
time:158.974,vol:756.567
time:159.123,vol:757.713
time:159.274,vol:759.832
time:159.379,vol:762.147
time:159.524,vol:764.143
time:159.625,vol:766.611
time:159.78,vol:771.373
time:159.923,vol:774.749
time:160.023,vol:775.859
time:160.121,vol:779.737
time:160.274,vol:781.581
time:160.381,vol:784.085
time:160.523,vol:786.171
time:160.623,vol:786.945
time:160.724,vol:787.653
