time:75.7073,vol:617.57
time:75.8384,vol:619.547
time:75.9444,vol:621.817
time:76.0881,vol:623.021
time:76.2382,vol:625.005
time:76.349,vol:626.127
time:76.4939,vol:626.906
time:76.6398,vol:627.167
time:76.7569,vol:627.806
time:76.8901,vol:628.481
time:76.9905,vol:629.186
time:77.1403,vol:629.849
time:77.2881,vol:630.765
time:77.3902,vol:631.275
time:77.4873,vol:634.226
time:77.6381,vol:635.575
time:77.7468,vol:635.803
time:77.8893,vol:635.923
time:78.0407,vol:636.129
time:78.1398,vol:636.329
time:78.2875,vol:636.475
time:78.3894,vol:636.551
time:78.5412,vol:636.754
time:78.6886,vol:637.085
time:78.838,vol:637.126
time:78.9393,vol:637.182
time:79.0881,vol:637.264
time:79.2431,vol:637.616
time:79.3899,vol:638.461
time:79.4894,vol:638.727
time:79.6395,vol:640.943
time:79.7888,vol:644.053
time:79.9455,vol:647.085
time:80.088,vol:648.998
time:80.1896,vol:649.088
time:80.3379,vol:649.703
time:80.4591,vol:649.703
time:80.5897,vol:650.398
time:80.7548,vol:651.834
time:80.8879,vol:653.704
time:81.038,vol:655.585
time:81.1419,vol:657.934
time:81.2887,vol:661.505
time:81.4426,vol:663.726
time:81.5396,vol:664.741
time:81.6377,vol:665.705
time:81.7401,vol:666.529
time:81.8444,vol:667.599
time:81.989,vol:669.027
time:82.1413,vol:671.114
time:82.2878,vol:673.784
time:82.388,vol:674.48
time:82.5411,vol:676.211
time:82.6883,vol:676.936
time:82.79,vol:677.237
time:82.9552,vol:677.716
time:83.0878,vol:677.784
time:83.2385,vol:677.83
time:83.3379,vol:677.873
time:83.4884,vol:677.966
time:83.5888,vol:678.008
time:83.6893,vol:678.036
time:83.8386,vol:678.04
time:83.9395,vol:678.041
time:84.0383,vol:678.217
time:84.1381,vol:679.65
time:84.2897,vol:682.141
time:84.4396,vol:685.721
time:84.5388,vol:689.612
time:84.6413,vol:691.325
time:84.7883,vol:692.102
time:84.888,vol:693.318
time:84.9905,vol:693.89
time:85.0887,vol:695.543
time:85.1894,vol:696.903
time:85.389,vol:700.488
time:85.4888,vol:702.947
time:85.6394,vol:703.937
time:85.7902,vol:704.321
time:85.8906,vol:704.596
time:86.038,vol:704.822
time:86.1389,vol:704.838
time:86.2885,vol:704.838
time:86.4384,vol:704.841
time:86.5472,vol:704.856
time:86.6893,vol:704.906
time:86.7888,vol:704.917
time:86.8912,vol:704.986
time:87.0032,vol:705.02
time:87.1462,vol:705.058
time:87.2881,vol:705.068
time:87.4398,vol:705.161
time:87.5399,vol:705.279
time:87.688,vol:705.362
time:87.7901,vol:705.413
time:87.9038,vol:705.49
time:88.0393,vol:705.587
time:88.19,vol:705.657
time:88.2895,vol:705.694
time:88.3914,vol:705.721
time:88.489,vol:705.75
time:88.6394,vol:705.768
time:88.7413,vol:705.794
